#{"t_start": 1744175098.8747785, "env_id": "None"}
r,l,t
-83.780783,50,2366.614688
-93.277284,50,2370.148478
-90.55314,50,2373.67321
-101.238637,50,2377.227142
-97.706326,50,2380.761853
-98.012281,50,2384.332326
-115.839001,50,2387.892184
-100.29608,50,2391.454948
-83.686399,50,2394.985201
-94.243297,50,2398.546274
-93.690078,50,2402.113879
-87.9906,50,2405.68232
-95.954042,50,2409.248419
-95.015041,50,2413.053679
-102.355215,50,2416.604465
-105.719984,50,2420.135781
-112.809196,50,2423.698902
-100.569754,50,2427.245998
-97.837457,50,2430.805295
-100.018455,50,2434.345688
-182.401483,50,2437.904292
-117.975093,50,2441.46634
-103.613133,50,2445.027571
-111.899848,50,2448.59759
-435.629932,50,2452.148144
-105.810972,50,2455.711043
-117.408772,50,2459.268264
-107.348836,50,2462.832508
-107.202927,50,2466.378618
-113.838932,50,2469.906385
-162.244679,50,2473.423373
-121.25517,50,2476.929157
-132.402628,50,2480.492217
-171.049736,50,2484.061561
-206.964382,50,2487.612325
-191.316224,50,2491.133066
-174.092453,50,2494.667648
-143.511089,50,2498.228685
-107.692512,50,2501.797415
-108.369407,50,2505.366697
-103.972396,50,2508.926055
-109.455852,50,2512.448343
-108.010475,50,2516.00439
-155.667599,50,2519.553764
-98.279543,50,2523.071759
-177.356675,50,2526.638809
-101.649299,50,2530.186495
-144.920602,50,2533.730073
-142.204771,50,2537.254426
-96.531712,50,2540.809585
-168.535376,50,2544.356017
-105.152591,50,2547.856107
-101.632277,50,2551.3845
-95.577476,50,2554.926096
-98.223077,50,2558.48373
-102.043522,50,2562.04041
-103.632674,50,2565.562335
-103.664604,50,2569.08689
-100.255096,50,2572.605214
-103.085253,50,2576.136955
-103.64679,50,2579.700433
-102.334749,50,2583.272435
-112.528576,50,2586.8492
-137.89794,50,2590.399144
-113.173885,50,2593.927703
-105.357959,50,2597.487413
-103.392747,50,2601.027789
-104.843874,50,2604.554454
-187.241706,50,2608.085614
-108.331596,50,2611.652216
-115.377512,50,2615.226563
-109.930746,50,2618.795413
-106.688872,50,2622.372125
-104.187425,50,2626.184363
-107.670603,50,2629.752239
-124.435582,50,2633.317775
-115.683947,50,2636.883018
-129.464441,50,2640.416826
-108.988229,50,2643.964322
-111.422813,50,2647.504609
-109.868733,50,2651.030207
-108.258284,50,2654.587915
-120.820556,50,2658.150947
-121.397998,50,2661.668542
-107.709599,50,2665.197751
-108.785628,50,2668.735174
-170.62885,50,2672.304515
-99.620839,50,2675.876886
-147.753741,50,2679.446107
-103.259135,50,2683.03086
-119.793042,50,2686.601391
-99.901049,50,2690.173902
-168.784854,50,2693.741017
-96.531312,50,2697.311706
-95.327295,50,2700.886836
-96.703085,50,2704.452878
-174.4469,50,2707.983842
-110.74861,50,2711.565095
-97.793762,50,2715.146591
-102.48774,50,2718.729875
-98.667039,50,2722.301522
-96.151266,50,2725.870559
-94.848912,50,2729.421128
-95.078826,50,2733.001209
-97.260853,50,2736.582517
-98.855722,50,2740.154393
-99.96372,50,2743.730264
-103.549968,50,2747.305603
-103.119778,50,2750.877898
-110.034005,50,2754.434784
-98.883819,50,2757.981897
-99.616706,50,2761.546035
-97.47182,50,2765.088979
-108.286743,50,2768.672661
-103.167128,50,2772.255969
-106.334779,50,2775.814118
-105.736265,50,2779.345921
-122.749745,50,2782.894091
-103.31351,50,2786.464459
-165.460586,50,2790.006767
-103.859925,50,2793.574641
-111.578378,50,2797.145939
-110.994552,50,2800.702773
-113.974492,50,2804.263056
-111.004665,50,2807.821112
-106.918558,50,2811.382231
-102.918302,50,2814.939611
-112.552339,50,2818.496064
-104.751698,50,2822.056309
-106.639125,50,2825.604737
-104.816616,50,2829.170787
-100.231946,50,2832.737923
-107.684675,50,2836.307605
-103.968476,50,2840.096959
-102.239155,50,2843.637519
-111.942446,50,2847.160724
-107.709779,50,2850.718527
-106.96071,50,2854.283111
-101.92521,50,2857.849843
-104.704676,50,2861.414173
-100.162524,50,2864.973079
-103.851621,50,2868.48946
-107.309777,50,2872.044522
-188.390275,50,2875.549521
-101.539911,50,2879.065229
-102.9976,50,2882.581495
-103.465157,50,2886.113929
-98.963726,50,2889.654693
-156.39406,50,2893.192731
-118.590619,50,2896.721231
-100.664767,50,2900.255979
-98.573142,50,2903.821954
-179.15119,50,2907.375225
-106.733546,50,2911.184919
-98.494089,50,2914.739191
-98.683431,50,2918.310501
-128.850761,50,2921.872147
-175.761957,50,2925.392856
-97.486436,50,2928.918122
-98.058182,50,2932.441177
-101.281478,50,2936.005034
-97.529804,50,2939.558848
-147.337635,50,2943.087878
-146.730793,50,2946.640612
-99.343617,50,2950.208095
-121.465569,50,2953.776971
-101.745216,50,2957.341701
-103.315292,50,2960.909559
-101.850746,50,2964.455743
-166.194393,50,2967.998822
-102.188125,50,2971.53616
-106.520459,50,2975.076464
-108.494671,50,2978.590581
-198.809045,50,2982.141872
-104.112936,50,2985.660257
-103.739642,50,2989.216215
-103.080947,50,2992.759519
-108.327154,50,2996.305874
-105.666927,50,2999.879918
-99.193553,50,3003.448904
-101.91202,50,3007.009498
-101.499618,50,3010.571269
-107.115826,50,3014.135732
-103.767143,50,3017.697046
-111.025538,50,3021.242461
-108.378632,50,3024.782337
-107.338271,50,3028.311903
-109.070793,50,3031.857266
-107.887455,50,3035.380559
-187.388158,50,3038.937093
-107.537749,50,3042.497173
-108.009654,50,3046.036441
-105.940293,50,3049.564318
-104.702177,50,3053.363358
-102.468517,50,3056.930261
-99.70755,50,3060.499522
-99.242202,50,3064.050723
-96.749253,50,3067.562327
-94.781901,50,3071.08427
-133.848117,50,3074.641682
-104.512112,50,3078.164771
-98.427874,50,3081.710326
-102.80937,50,3085.252575
-102.37942,50,3088.793371
-105.516849,50,3092.360595
-97.835647,50,3095.90808
-153.088558,50,3099.462785
-111.249118,50,3103.002308
-101.899387,50,3106.531551
-104.291541,50,3110.080276
-100.602896,50,3113.615771
-87.420909,50,3117.139799
-97.752996,50,3120.679153
-104.204351,50,3124.20366
-106.662391,50,3127.73551
-98.856681,50,3131.266094
-109.270991,50,3134.801111
-104.172927,50,3138.364089
-108.896934,50,3141.930665
-107.553201,50,3145.486356
-109.018726,50,3149.029957
-102.781694,50,3152.570208
-101.587693,50,3156.089335
-97.275241,50,3159.607457
-127.675265,50,3163.113809
-108.14265,50,3166.674037
-108.657978,50,3170.209123
-102.846567,50,3173.71852
-107.447231,50,3177.232085
-108.364125,50,3180.784435
-107.674875,50,3184.311927
-108.723857,50,3187.845954
-108.131643,50,3191.361476
-105.578826,50,3195.148058
-106.322861,50,3198.654272
-104.25732,50,3202.188046
-101.505209,50,3205.735676
-120.09557,50,3209.262917
-106.104932,50,3212.819906
-106.658507,50,3216.383993
-111.733308,50,3219.941824
-119.039902,50,3223.45837
-118.261565,50,3226.969538
-118.163834,50,3230.487359
-116.082623,50,3234.003131
-118.671382,50,3237.568826
-102.299704,50,3241.13491
-109.413522,50,3244.660348
-107.064808,50,3248.174826
-105.842003,50,3251.714956
-106.698787,50,3255.231709
-119.924197,50,3258.777982
-124.022044,50,3262.312659
-112.737712,50,3266.11288
-114.682465,50,3269.623751
-111.518833,50,3273.139035
-121.373378,50,3276.650449
-117.236509,50,3280.158846
-124.758719,50,3283.694546
-117.892785,50,3287.260648
-120.214394,50,3290.823316
-116.026838,50,3294.378471
-118.301271,50,3297.938851
-117.513712,50,3301.510493
-121.353553,50,3305.077508
-123.573667,50,3308.653075
-130.010434,50,3312.218364
-124.339828,50,3315.770206
-127.788695,50,3319.329275
-115.550862,50,3322.886059
-164.369866,50,3326.446197
-124.529454,50,3329.982053
-119.309544,50,3333.501391
-113.696536,50,3337.072458
-113.180376,50,3340.641413
-114.036456,50,3344.214126
-111.371173,50,3347.773812
-107.401214,50,3351.304229
-105.662214,50,3354.834778
-108.563312,50,3358.393651
-101.476558,50,3361.916687
-98.587009,50,3365.42881
-97.249507,50,3368.958231
-98.553542,50,3372.518512
-103.703065,50,3376.046563
-104.695976,50,3379.61183
-101.686917,50,3383.146689
-103.63171,50,3386.662132
-128.698127,50,3390.193705
-102.30946,50,3393.758978
-100.166934,50,3397.320103
-99.913486,50,3400.845725
-100.616504,50,3404.391104
-146.327251,50,3408.189151
-106.878434,50,3411.745651
-105.820058,50,3415.299005
-184.452228,50,3418.860198
-102.326257,50,3422.430649
-114.419069,50,3425.992338
-110.89664,50,3429.527964
-109.498576,50,3433.075984
-106.904182,50,3436.586733
-105.529665,50,3440.100864
-102.253854,50,3443.631487
-110.845902,50,3447.190494
-116.05146,50,3450.73282
-102.44158,50,3454.257915
-96.378643,50,3457.769722
-99.657684,50,3461.315722
-91.523012,50,3464.842197
-93.51595,50,3468.368329
-94.28608,50,3471.87089
-96.197295,50,3475.407619
-98.91028,50,3478.925031
-97.343123,50,3482.486912
-115.467985,50,3486.01403
-96.495702,50,3489.523653
-96.146872,50,3493.03044
-94.39783,50,3496.548544
-97.690582,50,3500.092244
-94.224677,50,3503.637916
-97.47589,50,3507.16333
-94.444562,50,3510.717758
-96.263977,50,3514.280279
-95.02776,50,3517.838929
-95.419879,50,3521.39482
-99.624362,50,3524.951807
-96.19698,50,3528.499969
-93.304745,50,3532.036849
-98.922895,50,3535.59546
-121.347628,50,3539.161078
-108.264803,50,3542.721965
-100.284293,50,3546.285866
